"Regione","Provincia","Comune","Codice Sito","Nome Sito","LONG ","LAT ","Data ","Ostreopsis cf. ovata ","Ostreopsis cf. ovata "
"","","","","","","","","cell/l","cell/ g fw"
"Veneto","Venezia","Jesolo","10245","1째 pennello da Torre Marzotto in direzione Cortellazzo","12.584919","45.478909","7/16/2020","0","0"
"Veneto","Venezia","Jesolo","10245","1째 pennello da Torre Marzotto in direzione Cortellazzo","12.584919","45.478909","8/12/2020","0","0"
"Veneto","Venezia","Jesolo","10245","1째 pennello da Torre Marzotto in direzione Cortellazzo","12.584919","45.478909","9/14/2020","0","0"
"Veneto","Venezia","Jesolo","10245","1째 pennello da Torre Marzotto in direzione Cortellazzo","12.584919","45.478909","10/7/2020","0","0"
"Veneto","Venezia","Cavallino Treporti","10405","Punta Sabbioni, diga bocca di porto di Venezia, lato spiaggia","12.435011","45.423431","7/16/2020","0","0"
"Veneto","Venezia","Cavallino Treporti","10405","Punta Sabbioni, diga bocca di porto di Venezia, lato spiaggia","12.435011","45.423431","8/12/2020","0","0"
"Veneto","Venezia","Cavallino Treporti","10405","Punta Sabbioni, diga bocca di porto di Venezia, lato spiaggia","12.435011","45.423431","9/15/2020","0","0"
"Veneto","Venezia","Cavallino Treporti","10405","Punta Sabbioni, diga bocca di porto di Venezia, lato spiaggia","12.435011","45.423431","10/7/2020","0","0"
"Veneto","Venezia","Chioggia","10645","Isola Verde","12.324","45.175","7/15/2020","0","0"
"Veneto","Venezia","Chioggia","10645","Isola Verde","12.324","45.175","8/13/2020","0","0"
"Veneto","Venezia","Chioggia","10645","Isola Verde","12.324","45.175","9/14/2020","0","0"
"Veneto","Venezia","Chioggia","10645","Isola Verde","12.324","45.175","10/7/2020","0","0"
"Veneto","Rovigo ","Rosolina ","10725","Albarella, diga Po di Levante","12.361446","45.075652","7/15/2020","0","0"
"Veneto","Rovigo ","Rosolina ","10725","Albarella, diga Po di Levante","12.361446","45.075652","8/13/2020","0","0"
"Veneto","Rovigo ","Rosolina ","10725","Albarella, diga Po di Levante","12.361446","45.075652","9/14/2020","0","0"
"Veneto","Rovigo ","Rosolina ","10725","Albarella, diga Po di Levante","12.361446","45.075652","10/7/2020","0","0"
