"Regione","Provincia","Comune","Codice Sito","Nome Sito","LONG ","LAT ","Data ","Ostreopsis cf. ovata ","Ostreopsis cf. ovata"
"","","","","","","","","cell/l"," cell/ g fw"
"Marche","Ancona","Ancona","0Y06","Passetto ascensore","13.534818","43.615790","7/10/2020","0","0"
"Marche","Ancona","Ancona","0Y06","Passetto ascensore","13.534818","43.615790","7/21/2020","0","0"
"Marche","Ancona","Ancona","0Y06","Passetto ascensore","13.534818","43.615790","8/4/2020","0","0"
"Marche","Ancona","Ancona","0Y06","Passetto ascensore","13.534818","43.615790","8/17/2020","0","0"
"Marche","Ancona","Ancona","0Y06","Passetto ascensore","13.534818","43.615790","9/9/2020","360","3312"
"Marche","Ancona","Ancona","0Y06","Passetto ascensore","13.534818","43.615790","9/22/2020","11280","19338"
"Marche","Ancona","Ancona","0Y06","Passetto ascensore","13.534818","43.615790","10/1/2020","480","4256"
"Marche","Ancona","Ancona","0Y06","Passetto ascensore","13.534818","43.615790","10/22/2020","360","3423"
"Marche","Ancona","Ancona","0Y03","Portonovo da Ramona","13.591666666667","43.566666666667","7/10/2020","0","0"
"Marche","Ancona","Ancona","0Y03","Portonovo da Ramona","13.591666666667","43.566666666667","7/21/2020","0","0"
"Marche","Ancona","Ancona","0Y03","Portonovo da Ramona","13.591666666667","43.566666666667","8/4/2020","0","0"
"Marche","Ancona","Ancona","0Y03","Portonovo da Ramona","13.591666666667","43.566666666667","8/17/2020","0","0"
"Marche","Ancona","Ancona","0Y03","Portonovo da Ramona","13.591666666667","43.566666666667","9/9/2020","400","1967"
"Marche","Ancona","Ancona","0Y03","Portonovo da Ramona","13.591666666667","43.566666666667","9/24/2020","1600","13588"
"Marche","Ancona","Ancona","0Y03","Portonovo da Ramona","13.591666666667","43.566666666667","10/1/2020","2320","3721"
"Marche","Ancona","Ancona","0Y03","Portonovo da Ramona","13.591666666667","43.566666666667","10/22/2020","1280","1885"
"Marche","Ancona","Sirolo ","0Y07","Molo spiaggia Urbani","13.624722222222","43.524166666667","7/10/2020","0","0"
"Marche","Ancona","Sirolo ","0Y07","Molo spiaggia Urbani","13.624722222222","43.524166666667","7/21/2020","0","0"
"Marche","Ancona","Sirolo ","0Y07","Molo spiaggia Urbani","13.624722222222","43.524166666667","8/4/2020","0","0"
"Marche","Ancona","Sirolo ","0Y07","Molo spiaggia Urbani","13.624722222222","43.524166666667","8/17/2020","0","0"
"Marche","Ancona","Sirolo ","0Y07","Molo spiaggia Urbani","13.624722222222","43.524166666667","9/9/2020","2840","7082"
"Marche","Ancona","Sirolo ","0Y07","Molo spiaggia Urbani","13.624722222222","43.524166666667","9/24/2020","5280","3032"
"Marche","Ancona","Sirolo ","0Y07","Molo spiaggia Urbani","13.624722222222","43.524166666667","10/1/2020","2040","6369"
"Marche","Ancona","Sirolo ","0Y07","Molo spiaggia Urbani","13.624722222222","43.524166666667","10/22/2020","720","2793"
"Marche","Fermo","Pedaso","0Y05","300 m nord centrale Enel ","13.846854","43.088485","7/15/2020","0","0"
"Marche","Fermo","Pedaso","0Y05","300 m nord centrale Enel ","13.846854","43.088485","7/31/2020","0","0"
"Marche","Fermo","Pedaso","0Y05","300 m nord centrale Enel ","13.846854","43.088485","8/20/2020","0","0"
"Marche","Fermo","Pedaso","0Y05","300 m nord centrale Enel ","13.846854","43.088485","9/9/2020","0","0"
"Marche","Fermo","Pedaso","0Y05","300 m nord centrale Enel ","13.846854","43.088485","9/21/2020","0","0"
"Marche","Fermo","Pedaso","0Y05","300 m nord centrale Enel ","13.846854","43.088485","10/19/2020","0","0"
"Marche","Ascoli Piceno","Grottamare","0Y12","Davanti scoglio San Nicola","13.869916","43.000152","7/15/2020","0","0"
"Marche","Ascoli Piceno","Grottamare","0Y12","Davanti scoglio San Nicola","13.869916","43.000152","7/31/2020","0","0"
"Marche","Ascoli Piceno","Grottamare","0Y12","Davanti scoglio San Nicola","13.869916","43.000152","8/20/2020","0","0"
"Marche","Ascoli Piceno","Grottamare","0Y12","Davanti scoglio San Nicola","13.869916","43.000152","9/9/2020","0","0"
"Marche","Ascoli Piceno","Grottamare","0Y12","Davanti scoglio San Nicola","13.869916","43.000152","9/21/2020","0","0"
"Marche","Ascoli Piceno","Grottamare","0Y12","Davanti scoglio San Nicola","13.869916","43.000152","10/19/2020","0","0"
"Marche","Macerata","Porto Recanati","0Y04","200 m nord scarico Fiumarella","13.661149","43.440593","7/6/2020","0","/"
"Marche","Macerata","Porto Recanati","0Y04","200 m nord scarico Fiumarella","13.661149","43.440593","7/20/2020","0","/"
"Marche","Macerata","Porto Recanati","0Y04","200 m nord scarico Fiumarella","13.661753","43.439745","8/2/2020","0","/"
"Marche","Macerata","Porto Recanati","0Y04","200 m nord scarico Fiumarella","13.661753","43.439745","8/17/2020","0","/"
"Marche","Macerata","Porto Recanati","0Y04","200 m nord scarico Fiumarella","13.661753","43.439745","9/2/2020","0","/"
"Marche","Macerata","Porto Recanati","0Y04","200 m nord scarico Fiumarella","13.661753","43.439745","9/14/2020","0","/"
"Marche","Macerata","Porto Recanati","0Y04","200 m nord scarico Fiumarella","13.661753","43.439745","9/30/2020","0","/"
"Marche","Pesaro","Pesaro","0Y09","30 m sud moletto","43.9159","12.9187","7/20/2020","0","0"
"Marche","Pesaro","Pesaro","0Y09","30 m sud moletto","43.9159","12.9187","7/28/2020","0","0"
"Marche","Pesaro","Pesaro","0Y09","30 m sud moletto","43.9159","12.9187","8/10/2020","0","0"
"Marche","Pesaro","Pesaro","0Y09","30 m sud moletto","43.9159","12.9187","8/25/2020","0","0"
"Marche","Pesaro","Pesaro","0Y09","30 m sud moletto","43.9159","12.9187","9/7/2020","0","0"
"Marche","Pesaro","Pesaro","0Y09","30 m sud moletto","43.9159","12.9187","9/29/2020","0","0"
